scenario,mechanism,requested_bytes,admitted_bytes,rejected_bytes,rejection_rate,total_charge,realized_scarcity,charge_coverage,peak_occupancy,stranded_capacity,peak_expiry
steady,shared_byte_time,1120.0,1120.0,0.0,0.0,1710642.6381928711,1673655.0093669575,1.0220999122393233,424,0.0,30
steady,term_premium,1120.0,1120.0,0.0,0.0,2103193.7450272604,1673655.0093669575,1.256647118585551,424,0.0,30
steady,five_maturity_lanes,1120.0,1120.0,0.0,0.0,3987986.173999714,8643269.533617336,0.46139787247045194,424,0.0,30
long_front_load,shared_byte_time,1470.0,1470.0,0.0,0.0,5087960.717419474,7227797.754293919,0.703943426529443,774,0.0,355
long_front_load,term_premium,1470.0,1470.0,0.0,0.0,6561610.889913062,7227797.754293919,0.9078298968748695,774,0.0,355
long_front_load,five_maturity_lanes,1470.0,1120.0,350.0,0.23809523809523808,3987986.173999714,8643269.533617336,0.46139787247045194,424,895.0,30
correlated_maximum,shared_byte_time,1120.0,1120.0,0.0,0.0,3276180.2162013687,3841165.7098783264,0.852913012259798,664,0.0,35
correlated_maximum,term_premium,1120.0,1120.0,0.0,0.0,4327441.802147523,3841165.7098783264,1.1265959682548035,664,0.0,35
correlated_maximum,five_maturity_lanes,1120.0,918.0,202.0,0.18035714285714285,3288398.4211796327,68552068.27003579,0.04796935386728509,462,706.0,35
adversarial_occupation,shared_byte_time,1820.0,1658.0,162.0,0.08901098901098901,30075111.166637618,633882601.246363,0.047445869483565,998,0.0,105
adversarial_occupation,term_premium,1820.0,1658.0,162.0,0.08901098901098901,35733643.37416706,633882601.246363,0.05637265213449032,998,0.0,105
adversarial_occupation,five_maturity_lanes,1820.0,1160.0,660.0,0.3626373626373626,6033007.548231697,576008532081.0709,1.0473816293024241e-05,464,760.0,105
maturity_fragmentation,shared_byte_time,1920.0,1920.0,0.0,0.0,592374.4831815824,639827.5823540103,0.9258345521806958,240,0.0,60
maturity_fragmentation,term_premium,1920.0,1920.0,0.0,0.0,592374.4831815824,639827.5823540103,0.9258345521806958,240,0.0,60
maturity_fragmentation,five_maturity_lanes,1920.0,1440.0,480.0,0.25,882102.8571428572,3505371.428571429,0.2516431924882629,180,820.0,60
expiry_cliff,shared_byte_time,1720.0,1720.0,0.0,0.0,7556222.219056669,12485458.067308657,0.6052018418804778,964,0.0,630
expiry_cliff,term_premium,1720.0,1720.0,0.0,0.0,9235165.69109887,12485458.067308657,0.7396737581682965,964,0.0,630
expiry_cliff,five_maturity_lanes,1720.0,1120.0,600.0,0.3488372093023256,3987986.173999714,8643269.533617336,0.46139787247045194,424,843.0,30
