scenario,mechanism,epoch,occupancy,rejected,expired
steady,shared_byte_time,0,35,0.0,0
steady,shared_byte_time,64,70,0.0,0
steady,shared_byte_time,128,105,0.0,0
steady,shared_byte_time,192,140,0.0,0
steady,shared_byte_time,256,157,0.0,18
steady,shared_byte_time,320,174,0.0,18
steady,shared_byte_time,384,191,0.0,18
steady,shared_byte_time,448,208,0.0,18
steady,shared_byte_time,512,225,0.0,18
steady,shared_byte_time,576,242,0.0,18
steady,shared_byte_time,640,259,0.0,18
steady,shared_byte_time,704,276,0.0,18
steady,shared_byte_time,768,293,0.0,18
steady,shared_byte_time,832,310,0.0,18
steady,shared_byte_time,896,327,0.0,18
steady,shared_byte_time,960,344,0.0,18
steady,shared_byte_time,1024,349,0.0,30
steady,shared_byte_time,1088,354,0.0,30
steady,shared_byte_time,1152,359,0.0,30
steady,shared_byte_time,1216,364,0.0,30
steady,shared_byte_time,1280,369,0.0,30
steady,shared_byte_time,1344,374,0.0,30
steady,shared_byte_time,1408,379,0.0,30
steady,shared_byte_time,1472,384,0.0,30
steady,shared_byte_time,1536,389,0.0,30
steady,shared_byte_time,1600,394,0.0,30
steady,shared_byte_time,1664,399,0.0,30
steady,shared_byte_time,1728,404,0.0,30
steady,shared_byte_time,1792,409,0.0,30
steady,shared_byte_time,1856,414,0.0,30
steady,shared_byte_time,1920,419,0.0,30
steady,shared_byte_time,1984,424,0.0,30
steady,shared_byte_time,2048,394,0.0,30
steady,shared_byte_time,2112,364,0.0,30
steady,shared_byte_time,2176,334,0.0,30
steady,shared_byte_time,2240,304,0.0,30
steady,shared_byte_time,2304,292,0.0,12
steady,shared_byte_time,2368,280,0.0,12
steady,shared_byte_time,2432,268,0.0,12
steady,shared_byte_time,2496,256,0.0,12
steady,shared_byte_time,2560,244,0.0,12
steady,shared_byte_time,2624,232,0.0,12
steady,shared_byte_time,2688,220,0.0,12
steady,shared_byte_time,2752,208,0.0,12
steady,shared_byte_time,2816,196,0.0,12
steady,shared_byte_time,2880,184,0.0,12
steady,shared_byte_time,2944,172,0.0,12
steady,shared_byte_time,3008,160,0.0,12
steady,shared_byte_time,3072,160,0.0,0
steady,shared_byte_time,3136,160,0.0,0
steady,shared_byte_time,3200,160,0.0,0
steady,shared_byte_time,3264,160,0.0,0
steady,shared_byte_time,3328,160,0.0,0
steady,shared_byte_time,3392,160,0.0,0
steady,shared_byte_time,3456,160,0.0,0
steady,shared_byte_time,3520,160,0.0,0
steady,shared_byte_time,3584,160,0.0,0
steady,shared_byte_time,3648,160,0.0,0
steady,shared_byte_time,3712,160,0.0,0
steady,shared_byte_time,3776,160,0.0,0
steady,shared_byte_time,3840,160,0.0,0
steady,shared_byte_time,3904,160,0.0,0
steady,shared_byte_time,3968,160,0.0,0
steady,shared_byte_time,4032,160,0.0,0
steady,shared_byte_time,4096,155,0.0,5
steady,shared_byte_time,4160,150,0.0,5
steady,shared_byte_time,4224,145,0.0,5
steady,shared_byte_time,4288,140,0.0,5
steady,shared_byte_time,4352,135,0.0,5
steady,shared_byte_time,4416,130,0.0,5
steady,shared_byte_time,4480,125,0.0,5
steady,shared_byte_time,4544,120,0.0,5
steady,shared_byte_time,4608,115,0.0,5
steady,shared_byte_time,4672,110,0.0,5
steady,shared_byte_time,4736,105,0.0,5
steady,shared_byte_time,4800,100,0.0,5
steady,shared_byte_time,4864,95,0.0,5
steady,shared_byte_time,4928,90,0.0,5
steady,shared_byte_time,4992,85,0.0,5
steady,shared_byte_time,5056,80,0.0,5
steady,shared_byte_time,5120,75,0.0,5
steady,shared_byte_time,5184,70,0.0,5
steady,shared_byte_time,5248,65,0.0,5
steady,shared_byte_time,5312,60,0.0,5
steady,shared_byte_time,5376,55,0.0,5
steady,shared_byte_time,5440,50,0.0,5
steady,shared_byte_time,5504,45,0.0,5
steady,shared_byte_time,5568,40,0.0,5
steady,shared_byte_time,5632,35,0.0,5
steady,shared_byte_time,5696,30,0.0,5
steady,shared_byte_time,5760,25,0.0,5
steady,shared_byte_time,5824,20,0.0,5
steady,shared_byte_time,5888,15,0.0,5
steady,shared_byte_time,5952,10,0.0,5
steady,shared_byte_time,6016,5,0.0,5
steady,shared_byte_time,6080,0,0.0,5
steady,term_premium,0,35,0.0,0
steady,term_premium,64,70,0.0,0
steady,term_premium,128,105,0.0,0
steady,term_premium,192,140,0.0,0
steady,term_premium,256,157,0.0,18
steady,term_premium,320,174,0.0,18
steady,term_premium,384,191,0.0,18
steady,term_premium,448,208,0.0,18
steady,term_premium,512,225,0.0,18
steady,term_premium,576,242,0.0,18
steady,term_premium,640,259,0.0,18
steady,term_premium,704,276,0.0,18
steady,term_premium,768,293,0.0,18
steady,term_premium,832,310,0.0,18
steady,term_premium,896,327,0.0,18
steady,term_premium,960,344,0.0,18
steady,term_premium,1024,349,0.0,30
steady,term_premium,1088,354,0.0,30
steady,term_premium,1152,359,0.0,30
steady,term_premium,1216,364,0.0,30
steady,term_premium,1280,369,0.0,30
steady,term_premium,1344,374,0.0,30
steady,term_premium,1408,379,0.0,30
steady,term_premium,1472,384,0.0,30
steady,term_premium,1536,389,0.0,30
